Time,Pane1-MF Super Heat Temp L1
1/1/18 0:01,4.120663
1/1/18 0:30,4.151361
1/1/18 1:00,4.220182
1/1/18 1:30,4.309535
1/1/18 2:00,4.398887
1/1/18 2:30,4.367211
1/1/18 3:00,4.325695
1/1/18 3:30,4.27908
1/1/18 4:00,4.212034
1/1/18 4:30,4.144987
1/1/18 5:00,4.129439
1/1/18 5:30,4.170844
1/1/18 6:00,4.21225
1/1/18 6:30,4.338367
1/1/18 7:00,4.49272
1/1/18 7:30,4.647249
1/1/18 8:00,4.808651
1/1/18 8:30,4.970053
1/1/18 9:00,4.815582
1/1/18 9:30,3.923244
1/1/18 10:00,3.030905
1/1/18 10:30,2.60645
1/1/18 11:00,2.528331
1/1/18 11:30,2.450213
1/1/18 12:00,2.364422
1/1/18 12:30,2.277272
1/1/18 13:00,2.191288
1/1/18 13:30,2.11351
1/1/18 14:00,2.035733
1/1/18 14:30,2.000954
1/1/18 15:00,2.030868
1/1/18 15:30,2.060782
1/1/18 16:00,2.203994
1/1/18 16:30,2.401969
1/1/18 17:00,2.599944
1/1/18 17:30,2.759744
1/1/18 18:00,2.917493
1/1/18 18:30,3.12035
1/1/18 19:00,3.479551
1/1/18 19:30,3.838752
1/1/18 20:00,4.072409
1/1/18 20:30,4.180049
1/1/18 21:00,4.287689
1/1/18 21:30,4.417759
1/1/18 22:00,4.55437
1/1/18 22:30,4.68751
1/1/18 23:00,4.753417
1/1/18 23:30,4.819324
1/2/18 0:00,4.851918
1/2/18 0:30,4.815001
1/2/18 1:00,4.778083
1/2/18 1:30,4.792583
1/2/18 2:00,4.841525
1/2/18 2:30,4.890467
1/2/18 3:00,4.897265
1/2/18 3:30,4.897972
1/2/18 4:00,4.905044
1/2/18 4:30,4.948582
1/2/18 5:00,4.99212
1/2/18 5:30,4.993597
1/2/18 6:00,4.937816
1/2/18 6:30,4.882035
1/2/18 7:00,4.884201
1/2/18 7:30,4.911395
1/2/18 8:00,4.938589
1/2/18 8:30,4.712233
1/2/18 9:00,4.478907
1/2/18 9:30,4.298296
1/2/18 10:00,4.27743
1/2/18 10:30,4.256564
1/2/18 11:00,4.395548
1/2/18 11:30,4.680161
1/2/18 12:00,4.964774
1/2/18 12:30,4.845303
1/2/18 13:00,4.623819
1/2/18 13:30,4.398396
1/2/18 14:00,4.123191
1/2/18 14:30,3.847985
1/2/18 15:00,3.678584
1/2/18 15:30,3.70725
1/2/18 16:00,3.735917
1/2/18 16:30,3.818637
1/2/18 17:00,3.934056
1/2/18 17:30,4.049476
1/2/18 18:00,4.140957
1/2/18 18:30,4.229718
1/2/18 19:00,4.33004
1/2/18 19:30,4.485693
1/2/18 20:00,4.641346
1/2/18 20:30,4.777979
1/2/18 21:00,4.891147
1/2/18 21:30,5.004316
1/2/18 22:00,5.019251
1/2/18 22:30,4.996472
1/2/18 23:00,4.973693
1/2/18 23:30,4.988172
1/3/18 0:00,5.002746
1/3/18 0:30,5.045481
1/3/18 1:00,5.163462
1/3/18 1:30,5.281444
1/3/18 2:00,5.38617
1/3/18 2:30,5.47994
1/3/18 3:00,5.57371
1/3/18 3:30,5.501536
1/3/18 4:00,5.393586
1/3/18 4:30,5.29286
1/3/18 5:00,5.258981
1/3/18 5:30,5.225101
1/3/18 6:00,5.196632
1/3/18 6:30,5.177279
1/3/18 7:00,5.157926
1/3/18 7:30,5.231196
1/3/18 8:00,5.354941
1/3/18 8:30,5.478685
1/3/18 9:00,5.643896
1/3/18 9:30,5.812608
1/3/18 10:00,5.912457
1/3/18 10:30,5.731671
1/3/18 11:00,5.550885
1/3/18 11:30,5.586629
1/3/18 12:00,5.864677
1/3/18 12:30,6.142726
1/3/18 13:00,6.360831
1/3/18 13:30,6.558612
1/3/18 14:00,6.746326
1/3/18 14:30,6.479549
1/3/18 15:00,6.212771
1/3/18 15:30,5.901661
1/3/18 16:00,5.485387
1/3/18 16:30,5.069114
1/3/18 17:00,5.014725
1/3/18 17:30,5.231447
1/3/18 18:00,5.448168
1/3/18 18:30,5.679951
1/3/18 19:00,5.914458
1/3/18 19:30,6.119701
1/3/18 20:00,6.113822
1/3/18 20:30,6.107943
1/3/18 21:00,6.104566
1/3/18 21:30,6.104998
1/3/18 22:00,6.105429
1/3/18 22:30,6.139361
1/3/18 23:00,6.189681
1/3/18 23:30,6.240002
1/4/18 0:00,6.266471
1/4/18 0:30,6.291588
1/4/18 1:00,6.288613
1/4/18 1:30,6.186754
1/4/18 2:00,6.084896
1/4/18 2:30,6.044858
1/4/18 3:00,6.067607
1/4/18 3:30,6.090357
1/4/18 4:00,6.163277
1/4/18 4:30,6.251097
1/4/18 5:00,6.340318
1/4/18 5:30,6.458644
1/4/18 6:00,6.57697
1/4/18 6:30,6.643208
1/4/18 7:00,6.599141
1/4/18 7:30,6.555074
1/4/18 8:00,6.46758
1/4/18 8:30,6.350604
1/4/18 9:00,6.233628
1/4/18 9:30,6.231173
1/4/18 10:00,6.245711
1/4/18 10:30,6.289422
1/4/18 11:00,6.503856
1/4/18 11:30,6.71829
1/4/18 12:00,6.897542
1/4/18 12:30,7.028374
1/4/18 13:00,7.159206
1/4/18 13:30,6.951656
1/4/18 14:00,6.596098
1/4/18 14:30,6.24054
1/4/18 15:00,6.166514
1/4/18 15:30,6.101021
1/4/18 16:00,5.947684
1/4/18 16:30,5.524311
1/4/18 17:00,5.100938
1/4/18 17:30,4.835144
1/4/18 18:00,4.714611
1/4/18 18:30,4.594079
1/4/18 19:00,4.704348
1/4/18 19:30,4.874053
1/4/18 20:00,5.038051
1/4/18 20:30,5.126332
1/4/18 21:00,5.214612
1/4/18 21:30,5.263497
1/4/18 22:00,5.237577
1/4/18 22:30,5.211657
1/4/18 23:00,5.179233
1/4/18 23:30,5.142821
1/5/18 0:00,5.106408
1/5/18 0:30,5.236158
1/5/18 1:00,5.385402
1/5/18 1:30,5.478241
1/5/18 2:00,5.296004
1/5/18 2:30,5.113767
1/5/18 3:00,5.047897
1/5/18 3:30,5.127137
1/5/18 4:00,5.206378
1/5/18 4:30,5.214543
1/5/18 5:00,5.195056
1/5/18 5:30,5.175569
1/5/18 6:00,5.111629
1/5/18 6:30,5.047456
1/5/18 7:00,5.054368
1/5/18 7:30,5.253792
1/5/18 8:00,5.453216
1/5/18 8:30,5.635825
1/5/18 9:00,5.804368
1/5/18 9:30,5.972912
1/5/18 10:00,6.16681
1/5/18 10:30,6.366296
1/5/18 11:00,6.4928
1/5/18 11:30,5.918404
1/5/18 12:00,5.344009
1/5/18 12:30,4.449447
1/5/18 13:00,3.007824
1/5/18 13:30,1.566201
1/5/18 14:00,1.27632
1/5/18 14:30,1.622948
1/5/18 15:00,1.969576
1/5/18 15:30,1.976373
1/5/18 16:00,1.953306
1/5/18 16:30,1.940075
1/5/18 17:00,1.967612
1/5/18 17:30,1.995148
1/5/18 18:00,2.015734
1/5/18 18:30,2.028458
1/5/18 19:00,2.041182
1/5/18 19:30,2.020908
1/5/18 20:00,1.989288
1/5/18 20:30,1.958448
1/5/18 21:00,1.967926
1/5/18 21:30,1.977404
1/5/18 22:00,1.98964
1/5/18 22:30,2.008505
1/5/18 23:00,2.027369
1/5/18 23:30,2.02356
1/6/18 0:00,2.00256
1/6/18 0:30,1.98156
1/6/18 1:00,1.989856
1/6/18 1:30,2.003581
1/6/18 2:00,2.014287
1/6/18 2:30,2.002536
1/6/18 3:00,1.990784
1/6/18 3:30,1.972961
1/6/18 4:00,1.945775
1/6/18 4:30,1.918589
1/6/18 5:00,1.892854
1/6/18 5:30,1.86784
1/6/18 6:00,1.842826
1/6/18 6:30,1.850936
1/6/18 7:00,1.861033
1/6/18 7:30,1.874367
1/6/18 8:00,1.899273
1/6/18 8:30,1.924179
1/6/18 9:00,1.991073
1/6/18 9:30,2.101067
1/6/18 10:00,2.211061
1/6/18 10:30,2.165786
1/6/18 11:00,2.073696
1/6/18 11:30,1.983534
1/6/18 12:00,1.936045
1/6/18 12:30,1.888556
1/6/18 13:00,1.864806
1/6/18 13:30,1.891948
1/6/18 14:00,1.919089
1/6/18 14:30,1.968335
1/6/18 15:00,2.032754
1/6/18 15:30,2.097173
1/6/18 16:00,2.079307
1/6/18 16:30,2.04891
1/6/18 17:00,2.020966
1/6/18 17:30,2.007753
1/6/18 18:00,1.994539
1/6/18 18:30,1.98336
1/6/18 19:00,1.975018
1/6/18 19:30,1.966675
1/6/18 20:00,1.994581
1/6/18 20:30,2.038582
1/6/18 21:00,2.082584
1/6/18 21:30,2.051949
1/6/18 22:00,2.018818
1/6/18 22:30,1.989802
1/6/18 23:00,1.973618
1/6/18 23:30,1.957434
1/7/18 0:00,1.949538
1/7/18 0:30,1.949365
1/7/18 1:00,1.949191
1/7/18 1:30,1.969309
1/7/18 2:00,1.994738
1/7/18 2:30,2.018764
1/7/18 3:00,2.023392
1/7/18 3:30,2.02802
1/7/18 4:00,2.023349
1/7/18 4:30,2.000814
1/7/18 5:00,1.978279
1/7/18 5:30,1.971348
1/7/18 6:00,1.974095
1/7/18 6:30,1.976842
1/7/18 7:00,2.010366
1/7/18 7:30,2.047613
1/7/18 8:00,2.077885
1/7/18 8:30,2.073343
1/7/18 9:00,2.068801
1/7/18 9:30,1.995688
1/7/18 10:00,1.835947
1/7/18 10:30,1.676206
1/7/18 11:00,1.479216
1/7/18 11:30,1.267501
1/7/18 12:00,1.055786
1/7/18 12:30,1.058166
1/7/18 13:00,1.062364
1/7/18 13:30,1.05508
1/7/18 14:00,1.016228
1/7/18 14:30,0.977376
1/7/18 15:00,0.967938
1/7/18 15:30,0.983369
1/7/18 16:00,0.998799
1/7/18 16:30,0.975299
1/7/18 17:00,0.943066
1/7/18 17:30,0.920881
1/7/18 18:00,0.998295
1/7/18 18:30,1.075709
1/7/18 19:00,1.111863
1/7/18 19:30,1.076706
1/7/18 20:00,1.041549
1/7/18 20:30,1.000664
1/7/18 21:00,0.956575
1/7/18 21:30,0.912487
1/7/18 22:00,0.912649
1/7/18 22:30,0.916855
1/7/18 23:00,0.935558
1/7/18 23:30,1.01561
1/8/18 0:00,1.095662
1/8/18 0:30,1.115816
1/8/18 1:00,1.067342
1/8/18 1:30,1.018868
1/8/18 2:00,0.999732
1/8/18 2:30,0.990855
1/8/18 3:00,0.982585
1/8/18 3:30,1.012115
1/8/18 4:00,1.041646
1/8/18 4:30,1.055237
1/8/18 5:00,1.029983
1/8/18 5:30,1.00473
1/8/18 6:00,0.993415
1/8/18 6:30,0.992784
1/8/18 7:00,0.992154
1/8/18 7:30,0.9912
1/8/18 8:00,0.990185
1/8/18 8:30,0.990641
1/8/18 9:00,1.002323
1/8/18 9:30,1.014005
1/8/18 10:00,1.006569
1/8/18 10:30,0.969324
1/8/18 11:00,0.932079
1/8/18 11:30,0.933892
1/8/18 12:00,0.955326
1/8/18 12:30,0.97676
1/8/18 13:00,0.981959
1/8/18 13:30,0.986132
1/8/18 14:00,0.993128
1/8/18 14:30,1.010414
1/8/18 15:00,1.0277
1/8/18 15:30,1.034008
1/8/18 16:00,1.028903
1/8/18 16:30,1.023798
1/8/18 17:00,1.004475
1/8/18 17:30,0.980788
1/8/18 18:00,0.959388
1/8/18 18:30,0.992892
1/8/18 19:00,1.026396
1/8/18 19:30,1.043196
1/8/18 20:00,1.023698
1/8/18 20:30,1.0042
1/8/18 21:00,0.99847
1/8/18 21:30,1.002295
1/8/18 22:00,1.00612
1/8/18 22:30,1.002082
1/8/18 23:00,0.99682
1/8/18 23:30,0.993853
1/9/18 0:00,1.004978
1/9/18 0:30,1.016104
1/9/18 1:00,1.016269
1/9/18 1:30,1.00098
1/9/18 2:00,0.985691
1/9/18 2:30,0.990943
1/9/18 3:00,1.005431
1/9/18 3:30,1.019919
1/9/18 4:00,0.975485
1/9/18 4:30,0.928896
1/9/18 5:00,0.907372
1/9/18 5:30,0.965406
1/9/18 6:00,1.02344
1/9/18 6:30,1.03713
1/9/18 7:00,1.008968
1/9/18 7:30,0.980806
1/9/18 8:00,0.983626
1/9/18 8:30,0.994716
1/9/18 9:00,1.00425
1/9/18 9:30,0.991118
1/9/18 10:00,0.977987
1/9/18 10:30,0.981484
1/9/18 11:00,1.017351
1/9/18 11:30,1.053218
1/9/18 12:00,1.061295
1/9/18 12:30,1.05194
1/9/18 13:00,1.042585
1/9/18 13:30,1.001012
1/9/18 14:00,0.955433
1/9/18 14:30,0.925811
1/9/18 15:00,0.977367
1/9/18 15:30,1.028923
1/9/18 16:00,1.038354
1/9/18 16:30,0.993988
1/9/18 17:00,0.949622
1/9/18 17:30,0.943307
1/9/18 18:00,0.952229
1/9/18 18:30,0.961152
1/9/18 19:00,0.950207
1/9/18 19:30,0.939039
1/9/18 20:00,0.932047
1/9/18 20:30,0.936708
1/9/18 21:00,0.941369
1/9/18 21:30,0.961994
1/9/18 22:00,0.996291
1/9/18 22:30,1.030589
1/9/18 23:00,0.991363
1/9/18 23:30,0.935288
1/10/18 0:00,0.887805
1/10/18 0:30,0.928891
1/10/18 1:00,0.969977
1/10/18 1:30,0.992336
1/10/18 2:00,0.981916
1/10/18 2:30,0.971495
1/10/18 3:00,0.968449
1/10/18 3:30,0.969573
1/10/18 4:00,0.970697
1/10/18 4:30,0.942167
1/10/18 5:00,0.910832
1/10/18 5:30,0.888822
1/10/18 6:00,0.906953
1/10/18 6:30,0.925084
1/10/18 7:00,0.933087
1/10/18 7:30,0.929359
1/10/18 8:00,0.92563
1/10/18 8:30,0.915177
1/10/18 9:00,0.902339
1/10/18 9:30,0.890389
1/10/18 10:00,0.945141
1/10/18 10:30,0.999894
1/10/18 11:00,1.031634
1/10/18 11:30,1.006482
1/10/18 12:00,0.981331
1/10/18 12:30,0.975441
1/10/18 13:00,0.98451
1/10/18 13:30,0.993579
1/10/18 14:00,0.982691
1/10/18 14:30,0.967938
1/10/18 15:00,0.95675
1/10/18 15:30,0.973639
1/10/18 16:00,0.990529
1/10/18 16:30,1.005814
1/10/18 17:00,1.018561
1/10/18 17:30,1.031308
1/10/18 18:00,1.029289
1/10/18 18:30,1.019753
1/10/18 19:00,1.010218
1/10/18 19:30,1.019732
1/10/18 20:00,1.03051
1/10/18 20:30,1.041671
1/10/18 21:00,1.05425
1/10/18 21:30,1.066829
1/10/18 22:00,1.099834
1/10/18 22:30,1.154305
1/10/18 23:00,1.208777
1/10/18 23:30,1.19647
1/11/18 0:00,1.16336
1/11/18 0:30,1.127091
1/11/18 1:00,1.009371
1/11/18 1:30,0.891651
1/11/18 2:00,0.817911
1/11/18 2:30,0.841054
1/11/18 3:00,0.864197
1/11/18 3:30,0.942148
1/11/18 4:00,1.058645
1/11/18 4:30,1.175142
1/11/18 5:00,1.118598
1/11/18 5:30,1.034345
1/11/18 6:00,0.957393
1/11/18 6:30,0.926482
1/11/18 7:00,0.895572
1/11/18 7:30,0.885265
1/11/18 8:00,0.904396
1/11/18 8:30,0.923528
1/11/18 9:00,0.941441
1/11/18 9:30,0.9588
1/11/18 10:00,0.976159
1/11/18 10:30,1.003637
1/11/18 11:00,1.031515
1/11/18 11:30,1.055701
1/11/18 12:00,1.068
1/11/18 12:30,1.0803
1/11/18 13:00,1.070912
1/11/18 13:30,1.040836
1/11/18 14:00,1.01076
1/11/18 14:30,1.171177
1/11/18 15:00,1.38325
1/11/18 15:30,1.5791
1/11/18 16:00,1.527623
1/11/18 16:30,1.476146
1/11/18 17:00,1.385361
1/11/18 17:30,1.217043
1/11/18 18:00,1.048725
1/11/18 18:30,0.766795
1/11/18 19:00,0.412626
1/11/18 19:30,0.058457
1/11/18 20:00,0.304544
1/11/18 20:30,0.627723
1/11/18 21:00,0.904043
1/11/18 21:30,0.936293
1/11/18 22:00,0.968544
1/11/18 22:30,0.982958
1/11/18 23:00,0.974294
1/11/18 23:30,0.96563
1/12/18 0:00,0.970018
1/12/18 0:30,0.979708
1/12/18 1:00,0.989398
1/12/18 1:30,0.984181
1/12/18 2:00,0.978757
1/12/18 2:30,0.984197
1/12/18 3:00,1.020378
1/12/18 3:30,1.056559
1/12/18 4:00,1.094741
1/12/18 4:30,1.134655
1/12/18 5:00,1.174569
1/12/18 5:30,1.208148
1/12/18 6:00,1.24025
1/12/18 6:30,1.266136
1/12/18 7:00,1.225761
1/12/18 7:30,1.185386
1/12/18 8:00,1.13812
1/12/18 8:30,1.078637
1/12/18 9:00,1.019153
1/12/18 9:30,0.976496
1/12/18 10:00,0.943488
1/12/18 10:30,0.91048
1/12/18 11:00,0.94882
1/12/18 11:30,0.994181
1/12/18 12:00,1.028193
1/12/18 12:30,1.0123
1/12/18 13:00,0.996408
1/12/18 13:30,0.988446
1/12/18 14:00,0.989788
1/12/18 14:30,0.99113
1/12/18 15:00,1.00902
1/12/18 15:30,1.032869
1/12/18 16:00,1.056292
1/12/18 16:30,1.039564
1/12/18 17:00,1.022835
1/12/18 17:30,1.014538
1/12/18 18:00,1.027359
1/12/18 18:30,1.04018
1/12/18 19:00,1.034409
1/12/18 19:30,1.014043
1/12/18 20:00,0.993677
1/12/18 20:30,1.008181
1/12/18 21:00,1.029572
1/12/18 21:30,1.044431
1/12/18 22:00,1.006444
1/12/18 22:30,0.968457
1/12/18 23:00,0.949096
1/12/18 23:30,0.959506
1/13/18 0:00,0.969915
1/13/18 0:30,0.988856
1/13/18 1:00,1.012197
1/13/18 1:30,1.035537
1/13/18 2:00,1.024888
1/13/18 2:30,1.01186
1/13/18 3:00,1.002607
1/13/18 3:30,1.007601
1/13/18 4:00,1.012596
1/13/18 4:30,1.004789
1/13/18 5:00,0.983354
1/13/18 5:30,0.96192
1/13/18 6:00,1.006084
1/13/18 6:30,1.071017
1/13/18 7:00,1.131457
1/13/18 7:30,1.066856
1/13/18 8:00,1.002254
1/13/18 8:30,0.945114
1/13/18 9:00,0.904618
1/13/18 9:30,0.864122
1/13/18 10:00,0.887397
1/13/18 10:30,0.956017
1/13/18 11:00,1.024636
1/13/18 11:30,1.070829
1/13/18 12:00,1.113351
1/13/18 12:30,1.15494
1/13/18 13:00,1.190517
1/13/18 13:30,1.226094
1/13/18 14:00,1.24243
1/13/18 14:30,1.230971
1/13/18 15:00,1.219512
1/13/18 15:30,1.172156
1/13/18 16:00,1.108213
1/13/18 16:30,1.04427
1/13/18 17:00,0.930089
1/13/18 17:30,0.81375
1/13/18 18:00,0.712786
1/13/18 18:30,0.662239
1/13/18 19:00,0.611691
1/13/18 19:30,0.669708
1/13/18 20:00,0.832625
1/13/18 20:30,0.995543
1/13/18 21:00,0.99916
1/13/18 21:30,0.958748
1/13/18 22:00,0.924043
1/13/18 22:30,0.980996
1/13/18 23:00,1.037948
1/13/18 23:30,1.057381
1/14/18 0:00,1.00192
1/14/18 0:30,0.946458
1/14/18 1:00,0.939863
1/14/18 1:30,0.964688
1/14/18 2:00,0.989513
1/14/18 2:30,0.993665
1/14/18 3:00,0.995091
1/14/18 3:30,0.997485
1/14/18 4:00,1.005024
1/14/18 4:30,1.012562
1/14/18 5:00,0.998133
1/14/18 5:30,0.954973
1/14/18 6:00,0.911813
1/14/18 6:30,0.954241
1/14/18 7:00,1.03194
1/14/18 7:30,1.109638
1/14/18 8:00,1.105968
1/14/18 8:30,1.100893
1/14/18 9:00,1.216906
1/14/18 9:30,1.681318
1/14/18 10:00,2.145731
1/14/18 10:30,2.541189
1/14/18 11:00,2.876181
1/14/18 11:30,3.211174
1/14/18 12:00,3.260615
1/14/18 12:30,3.242059
1/14/18 13:00,3.212243
1/14/18 13:30,3.057733
1/14/18 14:00,2.903223
1/14/18 14:30,2.599841
1/14/18 15:00,2.029469
1/14/18 15:30,1.459096
1/14/18 16:00,0.908915
1/14/18 16:30,0.370447
1/14/18 17:00,-0.168022
1/14/18 17:30,-0.03252
1/14/18 18:00,0.171484
1/14/18 18:30,0.379568
1/14/18 19:00,0.605916
1/14/18 19:30,0.832263
1/14/18 20:00,0.957958
1/14/18 20:30,0.964299
1/14/18 21:00,0.97064
1/14/18 21:30,0.988278
1/14/18 22:00,1.010044
1/14/18 22:30,1.031634
1/14/18 23:00,1.029213
1/14/18 23:30,1.026792
1/15/18 0:00,1.021488
1/15/18 0:30,1.008847
1/15/18 1:00,0.996206
1/15/18 1:30,0.979524
1/15/18 2:00,0.959628
1/15/18 2:30,0.939732
1/15/18 3:00,0.971031
1/15/18 3:30,1.012677
1/15/18 4:00,1.045822
1/15/18 4:30,1.008059
1/15/18 5:00,0.970297
1/15/18 5:30,0.972522
1/15/18 6:00,1.039385
1/15/18 6:30,1.106249
1/15/18 7:00,1.079779
1/15/18 7:30,1.004598
1/15/18 8:00,0.929417
1/15/18 8:30,1.011699
1/15/18 9:00,1.105479
1/15/18 9:30,1.238383
1/15/18 10:00,1.521326
1/15/18 10:30,1.804269
1/15/18 11:00,1.929817
1/15/18 11:30,1.886015
1/15/18 12:00,1.842212
1/15/18 12:30,1.248492
1/15/18 13:00,0.477846
1/15/18 13:30,-0.261645
1/15/18 14:00,-0.042074
1/15/18 14:30,0.177497
1/15/18 15:00,0.409888
1/15/18 15:30,0.671308
1/15/18 16:00,0.932728
1/15/18 16:30,1.031035
1/15/18 17:00,1.011817
1/15/18 17:30,0.992598
1/15/18 18:00,1.004821
1/15/18 18:30,1.022329
1/15/18 19:00,1.034588
1/15/18 19:30,1.012099
1/15/18 20:00,0.98961
1/15/18 20:30,0.981785
1/15/18 21:00,0.995377
1/15/18 21:30,1.008969
1/15/18 22:00,1.003796
1/15/18 22:30,0.989844
1/15/18 23:00,0.975893
1/15/18 23:30,0.98265
1/16/18 0:00,0.990356
1/16/18 0:30,0.991087
1/16/18 1:00,0.968599
1/16/18 1:30,0.94611
1/16/18 2:00,0.956046
1/16/18 2:30,0.997646
1/16/18 3:00,1.039246
1/16/18 3:30,1.04958
1/16/18 4:00,1.051137
1/16/18 4:30,1.052687
1/16/18 5:00,1.054134
1/16/18 5:30,1.055582
1/16/18 6:00,1.034291
1/16/18 6:30,0.966951
1/16/18 7:00,0.89961
1/16/18 7:30,0.904022
1/16/18 8:00,0.955197
1/16/18 8:30,1.006371
1/16/18 9:00,1.039946
1/16/18 9:30,1.071129
1/16/18 10:00,1.081539
1/16/18 10:30,0.979107
1/16/18 11:00,0.876675
1/16/18 11:30,0.854603
1/16/18 12:00,0.938785
1/16/18 12:29,1.022968
1/16/18 12:59,1.011023
1/16/18 13:29,0.958952
1/16/18 13:59,0.90688
1/16/18 14:29,0.956938
1/16/18 14:59,1.009041
1/16/18 15:29,1.041767
1/16/18 15:59,1.017957
